cliente,total_gasto,segmento
Cliente_008,133220.81,Ouro
Cliente_022,129652.85,Ouro
Cliente_007,102766.87,Ouro
Cliente_044,101169.97,Ouro
Cliente_032,97602.03,Ouro
Cliente_039,97464.32,Ouro
Cliente_049,94051.44,Ouro
Cliente_026,92142.56999999999,Ouro
Cliente_033,89340.19,Ouro
Cliente_005,85261.70999999999,Ouro
Cliente_040,81363.94,Ouro
Cliente_046,81222.63,Ouro
Cliente_050,79029.27,Ouro
Cliente_038,77977.51000000001,Ouro
Cliente_010,71233.3,Ouro
Cliente_048,68645.55,Ouro
Cliente_003,67915.21,Ouro
Cliente_017,67899.19,Ouro
Cliente_028,66867.70000000001,Ouro
Cliente_047,65754.01,Ouro
Cliente_001,65255.53,Ouro
Cliente_015,63755.520000000004,Ouro
Cliente_004,62635.96,Ouro
Cliente_019,57455.55,Ouro
Cliente_002,53500.329999999994,Ouro
Cliente_041,51858.56,Ouro
Cliente_031,50463.19,Ouro
Cliente_023,49012.86,Ouro
Cliente_020,47129.810000000005,Ouro
Cliente_045,46800.14,Ouro
Cliente_013,42952.31,Ouro
Cliente_016,42796.45,Ouro
Cliente_006,41865.53999999999,Ouro
Cliente_014,41300.270000000004,Ouro
Cliente_018,40739.979999999996,Ouro
Cliente_042,40583.869999999995,Ouro
Cliente_012,38180.36,Ouro
Cliente_027,37364.91,Ouro
Cliente_037,35679.58,Ouro
Cliente_029,34827.9,Ouro
Cliente_043,34423.86,Ouro
Cliente_034,34333.72,Ouro
Cliente_011,31854.77,Ouro
Cliente_035,29213.07,Ouro
Cliente_024,28210.04,Ouro
Cliente_030,24924.510000000002,Ouro
Cliente_009,24883.43,Ouro
Cliente_025,19073.850000000002,Ouro
Cliente_021,16051.949999999999,Ouro
Cliente_036,15362.95,Ouro
