id_venda,data_venda,cliente,produto,categoria,regiao,quantidade,preco_unitario
1,2025-06-30,Cliente_008,Headset,Perifericos,Norte,8.0,394.1
2,2025-07-08,Cliente_026,Teclado,Perifericos,Centro-Oeste,2.0,263.41
3,2025-05-30,Cliente_022,Smartphone,Celulares,Sudeste,10.0,2065.33
4,2025-05-25,Cliente_001,Notebook,Computadores,Sudeste,2.0,3915.44
5,2025-12-19,Cliente_045,Monitor,Computadores,Nordeste,7.0,1354.14
6,2025-06-06,Cliente_036,Teclado,Perifericos,Centro-Oeste,2.0,250.73
7,2025-03-11,Cliente_033,Notebook,Computadores,Sul,1.0,3504.94
8,2025-12-03,Cliente_005,Notebook,Computadores,Sul,6.0,3015.24
9,2025-07-26,Cliente_019,Monitor,Computadores,Sul,6.0,1228.66
10,2025-01-15,Cliente_022,  Headset ,Perifericos,Norte,9.0,336.17
11,2025-10-03,cliente#003,Notebook,Computadores,Centro-Oeste,5.0,3080.67
12,2025-03-15,cliente#028,Smartphone,Celulares,Sul,4.0,2521.87
13,2025-07-23,Cliente_029,Tablet,Celulares,Sul,7.0,1787.28
14,2025-06-27,Cliente_008,Teclado,Perifericos,Sul,,260.47
15,2025-12-17,Cliente_034,Tablet,Celulares,Sul,5.0,1650.07
16,2025-04-19,Cliente_042,Smartphone,Celulares,Centro-Oeste,1.0,2472.35
17,2025-12-23,Cliente_014,Mouse,Perifericos,Centro-Oeste,4.0,112.06
18,2025-07-11,Cliente_045,Mouse,Perifericos,Norte,5.0,102.56
19,2025-10-06,Cliente_010,Headset,Perifericos,Sudeste,4.0,380.7
20,2025-08-31,Cliente_002,Headset,Perifericos,Sul,3.0,308.09
21,2025-09-13,Cliente_041,Teclado,Perifericos,Norte,4.0,244.85
22,2025-07-10,Cliente_036,Teclado,Perifericos,Nordeste,,280.99
23,2025-04-01,Cliente_001,Smartphone,Celulares,Nordeste,2.0,2202.35
24,2025-09-23,Cliente_049,Mouse,Perifericos,Centro-Oeste,,115.08
25,2025-01-02,Cliente_001,Notebook,Computadores,Nordeste,6.0,3986.28
26,2025-07-12,Cliente_038,  Mouse ,Perifericos,Centro-Oeste,1.0,115.43
27,2025-06-09,Cliente_047,Headset,Perifericos,Centro-Oeste,2.0,395.49
28,2025-08-07,Cliente_018,Tablet,Celulares,Norte,7.0,1797.85
29,2025-01-13,Cliente_004!!,Tablet,Celulares,Norte,6.0,1677.03
30,2025-05-15,Cliente_044,Smartphone,Celulares,Nordeste,7.0,1876.03
31,2025-11-25,Cliente_046,Smartphone,Celulares,Norte,6.0,2012.3
32,2025-11-17,Cliente_042,Notebook,Computadores,Sul,3.0,3995.11
33,2025-10-27,Cliente_007,Tablet,Celulares,Centro-Oeste,9.0,1540.47
34,DATA INVALIDA,CLIENTE-033,Mouse,Perifericos,Sul,2.0,102.92
35,2025-01-21,Cliente_019,Smartphone,Celulares,Centro-Oeste,4.0,1903.76
36,2025-08-21,Cliente_042,Smartphone,Celulares,Norte,4.0,2335.35
37,2025-12-06,Cliente_019,Teclado,Perifericos,Sul,4.0,280.87
